Ticker,Year,Industry,index,Close,Open,High,Low,Volume,Month,Day,Company,Daily_range,Net_change,Percentage_change,Log_Close,Log_Daily_range,Winsorized_Close,Winsorized_Daily_range,Forecast_Close_Automotive,Forecast_Close_E-commerce,Forecast_Close_Entertainment,Forecast_Close_Finance,Forecast_Close_Healthcare,Forecast_Close_Retail,Forecast_Close_Semiconductors,Forecast_Close_Technology,Forecast_Close_Telecommunications
AAPL,2018,Technology,40,46.28,47,48.55,45.18,527624365,6,1,APPLE INC.,3.37,-0.72,-1.531914894,3.856087373,1.474763009,46.28,3.37,,,,,,,,,
AAPL,2018,Technology,41,47.57,45.96,48.99,45.86,393843881,7,1,APPLE INC.,3.13,1.61,3.503046127,3.883006056,1.418277407,47.57,3.13,,,,,,,,,
AAPL,2018,Technology,42,56.91,49.78,57.22,49.33,700318837,8,1,APPLE INC.,7.89,7.13,14.32302129,4.058890081,2.18492705,56.91,7.89,,,,,,,,,
AAPL,2018,Technology,43,56.44,57.1,57.42,53.83,678972040,9,1,APPLE INC.,3.59,-0.66,-1.1558669,4.050740925,1.523880024,56.44,3.59,,,,,,,,,
AAPL,2018,Technology,44,54.72,56.99,58.37,51.52,789748068,10,1,APPLE INC.,6.85,-2.27,-3.983154939,4.020339149,2.060513532,54.72,6.85,,,,,,,,,
AAPL,2018,Technology,46,39.44,46.12,46.24,36.65,898343099,12,1,APPLE INC.,9.59,-6.68,-14.4839549,3.699819394,2.35991016,39.44,9.59,,,,,,,,,
AAPL,2019,Technology,47,41.61,38.72,42.25,35.5,820018451,1,1,APPLE INC.,6.75,2.89,7.463842975,3.752088968,2.047692843,41.61,6.75,,,,,,,,,
AAPL,2019,Technology,48,43.29,41.74,43.97,41.48,471108429,2,1,APPLE INC.,2.49,1.55,3.713464303,3.790758918,1.249901736,43.29,2.49,,,,,,,,,
AAPL,2019,Technology,49,47.49,43.57,49.42,42.38,650981384,3,1,APPLE INC.,7.04,3.92,8.997016296,3.881357591,2.084429083,47.49,7.04,,,,,,,,,
AAPL,2019,Technology,50,50.17,47.91,52.12,47.1,506117812,4,1,APPLE INC.,5.02,2.26,4.717178042,3.935153423,1.795087259,50.17,5.02,,,,,,,,,
